point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[kJ/K],Enthalpy[kJ/mol],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,3.0,1280.0,system,100.0,100.0,100.0,12.117671479867598,19.502256931793557,0.001508329648785891,0.39537607749829173,0.11631638045740411,0.15751187932623537,0.1481621409877747,0.07796668725464546,2.4386354953213605,2766.9573404395755,0.0036190393289982064,[1494.806288918176],[7.0159804005392e-6],[0.1596632833566375],[-747.6774216741584],3.2578412104324266,0.7288578963129642,7.474898853762708,4.327357959725216,27.40731447789365,1.4699013537583419,46.70692875618488,9.259129985841247,13.410893443199932,19.442406573792404,7.595909311281535,0.10038469297087489,2.258727650353431,0.8034103220558803,0.0,0.0371862276360187,0.38502303668380816,46.3229,15.584199999999997,12.415100000000004,12.934200000000004,9.009299999999998,0.15610000000000004,2.3110000000000004,1.0593999999999997,0.0,0.09329999999999998,0.11449999999999999
1,1.0,3.0,1280.0,liq,93.02741446259355,94.31846292423658,95.11695235040152,-,-,-,-,-,-,-,-,,2739.9679657242195,65.36018487852557,1489.3782991368691,7.218426111044321e-6,0.1607402717546455,-747.5021112361779,3.0278101963141313,2.0341515130552834e-9,-,-,25.119025084101914,1.1337363765356897e-17,47.708872353685564,9.952771904542804,14.392818865556922,16.49936264709696,7.592845287751164,0.10790681814979414,2.427974552764941,0.8636034892900104,0.0,0.039972525013327494,0.4138715561485285,46.66861694364407,16.522270674773036,13.141644645063932,10.82600115547508,8.882335599196692,0.16549910299245915,2.4501437056515063,1.123177252904311,0.0,0.09891734536287027,0.1213935749360352
1,1.0,3.0,1280.0,ol,6.972585537406452,5.681537075763418,4.883047649598487,-,-,-,-,-,-,-,-,,3215.004462986357,46.060648710527985,1523.7406336040374,4.314973590898929e-6,0.14529423108249875,-745.7614206603992,7.474898853762708,4.327357959725215,-,-,99.3631754622089,60.20426009478755,33.33333333333333,0.0,0.3025281682140989,58.69168806257118,7.672450435881389,0.0,0.0,0.0,0.0,0.0,0.0,40.57124113785118,0.0,0.34370309831377777,47.917182201589675,11.16787356224537,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,2.967741935483871,1275.806451612903,system,100.0,100.0,100.0,12.113805618030794,19.54326847280746,0.0015357455260006589,0.39701524153511947,0.11793238105606645,0.15929427551137734,0.14678892227592213,0.07836267283177484,2.6050600086691706,2744.8389487877207,0.003644251333037623,[1504.3735395377198],[7.177821445684197e-6],[0.16195309126817045],[-755.7431123989769],3.0734001313560815,0.32468064408535063,7.475890558649979,4.326733039655885,25.54136232416937,0.2893541165474013,47.56511696348204,9.853244185497372,14.251915958583492,16.9212859012517,7.593641339232467,0.10682774996829622,2.403694807237291,0.8549674543971103,0.0,0.03957279976319421,0.4097328405870432,46.61951681683374,16.38922235838824,13.038587104759502,11.124684023468769,8.90074027153277,0.16416639410215153,2.430413518357367,1.114132682370263,0.0,0.09812079708443792,0.12041603310276702
2,1.0,2.967741935483871,1275.806451612903,liq,98.60182308426091,98.87345697659549,99.03909700175878,-,-,-,-,-,-,-,-,,2739.4584996735275,65.32709118605511,1503.176853363546,7.218497056469327e-6,0.1621702977660963,-755.7048233859616,3.0265272595549053,2.033410947328713e-9,-,-,25.093076201643406,1.1327003647228943e-17,47.76652705095692,9.992660618787417,14.449156072713704,16.329281290368108,7.593565631941429,0.10834078180150364,2.4377342396696298,0.8670686520241878,0.0,0.04013311533957307,0.41553254639753306,46.68803510385837,16.57536005132538,13.182643075163519,10.705923183184932,8.876147895387767,0.1660331756072863,2.4580456019463623,1.1267914623626036,0.0,0.09923614721196473,0.12178430395183375
2,1.0,2.967741935483871,1275.806451612903,ol,1.3981769157390924,1.1265430234045046,0.9609029982412216,-,-,-,-,-,-,-,-,,3217.0655685924607,46.05748469089776,1545.4313948985314,4.309307931169769e-6,0.1466353182165996,-753.4800057127275,7.475890558649979,4.326733039655885,-,-,99.49777252638334,60.225458152803654,33.33333333333333,0.0,0.30410007410405915,58.60135454820895,7.761212044353654,0.0,0.0,0.0,0.0,0.0,0.0,40.54803334952643,0.0,0.34529131647410494,47.816064270385695,11.290611063613774,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,2.935483870967742,1271.6129032258063,system,100.0,100.0,100.0,12.10993287460549,19.584512587323253,0.0015637241667525968,0.39865768444738864,0.11957033721400152,0.1610771106276454,0.14542129200160409,0.07875991405532552,2.7847035185239157,2744.3432468839424,0.00364491770206491,[1502.6025455146832],[7.1768194089943215e-6],[0.16183226079461993],[-756.727561992763],3.0718952746058963,0.32419268625205894,7.474960297011351,4.326075064461186,25.512529157352155,0.2884329391719063,47.622195113780684,9.892734012599542,14.307705512727612,16.75200202294652,7.595242096065552,0.10725737398348859,2.4133568972729327,0.8583979655039461,0.0,0.03973178418617733,0.4113772209335577,46.6386024913012,16.44191328954971,13.079290688448078,11.004693655849811,8.895586525392101,0.1646964571551069,2.4382560936122464,1.1177197636855825,0.0,0.09843720574369347,0.12080382926246633
3,1.0,2.935483870967742,1271.6129032258063,ol,1.3946976169571286,1.1235036205780808,0.9575152387928874,-,-,-,-,-,-,-,-,,3219.148823837326,46.05437592483842,1538.933494174629,4.3064859704426746e-6,0.1465741106619322,-753.9963635427285,7.474960297011351,4.326075064461186,-,-,99.54186802331245,60.246130293555574,33.33333333333333,0.0,0.305672802972522,58.50976873313051,7.85122513056363,0.0,0.0,0.0,0.0,0.0,0.0,40.524528208033004,0.0,0.3468758802131196,47.71365937294812,11.414936538805753,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,2.935483870967742,1271.6129032258063,liq,98.60530238304287,98.87649637942192,99.0424847612071,-,-,-,-,-,-,-,-,,2738.9481752105817,65.29537035958117,1501.4517888831253,7.217418110178456e-6,0.16204807581789898,-756.6950646650631,3.025147681614519,2.0326951053339686e-9,-,-,25.06553488386843,1.131692135040551e-17,47.8239074386268,10.032362623859074,14.50521347706247,16.16040050511412,7.593899935607067,0.10877268133496719,2.447447665263212,0.8705172801825658,0.0,0.040292939236156455,0.41718545371356486,46.70742196556228,16.628151168829284,13.223397267288343,10.586882222592122,8.869569853260566,0.16656419604012526,2.4659025036454696,1.130384954665602,0.0,0.09955312097639246,0.12217274713980275
4,1.0,2.903225806451613,1267.4193548387098,system,100.0,100.0,100.0,12.106053227755703,19.625991275399173,0.0015922847875472395,0.40030337150423223,0.12123054688197425,0.1628593793629566,0.14405921947416706,0.079158502031365,2.9787595659049386,2743.8463721243384,0.003645586034727171,[1501.6967668260772],[7.1765959194499e-6],[0.16170982656647512],[-757.7107759821513],3.0704516721077644,0.32371334341773417,7.475015509179984,4.325384803384065,25.484716232614435,0.28752856325556253,47.67900169757386,9.932038997620483,14.363218070321574,16.583894187394282,7.596473187556632,0.10768495452161751,2.4229731886105794,0.8618121073807402,0.0,0.03989000984379489,0.4130135991764292,46.657654181028,16.494306681599312,13.11975066311328,10.885725695912592,8.8900581983195,0.16522347576500207,2.4460537872843724,1.121286180358492,0.0,0.09875179097319844,0.12118934564625265
