point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[kJ/K],Enthalpy[kJ/mol],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,3.0,1290.0,system,100.0,100.0,100.0,-8.236413180929928,-0.9526698262685358,0.0016213452245995433,0.46655956936368853,0.10123416189429164,0.12347830444339022,0.14087142561635413,0.06239605459560571,3.2318142372499468,2730.186464444709,0.0036639903935864575,[1512.9645289481066],[7.178727316757364e-6],[0.15973363618886163],[-747.9791243150123],3.0942136635343545,0.35758535586932255,7.505512494519692,4.353632833382063,25.67376840011152,0.34910153548149586,48.72691060750781,8.808148492089694,13.759848983019642,18.072852895341516,7.256834101944724,0.13553203559293828,1.7827246102352874,0.7259990565112947,0.28322699700192533,0.043768903911975944,0.4041533168431583,48.41503713718426,14.852375570697552,12.761541605337603,12.045178161556992,8.622941416878756,0.2111418547507916,1.827331328834703,0.9590816478457634,0.07494386704358436,0.11001759681998188,0.12040981305002559
1,1.0,3.0,1290.0,ol,1.6655415003003666,1.3496851873249092,1.1534635860411366,-,-,-,-,-,-,-,-,,3193.554017830405,46.03046048242283,1534.6703559245273,4.3300850593939715e-6,0.14519240006348652,-749.2255518420187,7.505512494519692,4.353632833382063,-,-,99.19357408117551,60.5310024011535,33.33333333333333,0.0,0.2738316930026553,59.8517572211467,6.541077752517303,0.0,0.0,0.0,0.0,0.0,0.0,40.87053643529326,0.0,0.31339595386370755,49.22476148278715,9.591306128055889,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,3.0,1290.0,liq,98.33445849969962,98.6503148126751,98.84653641395886,-,-,-,-,-,-,-,-,,2723.8468970112017,65.39258111362786,1511.7836483251385,7.226976241615812e-6,0.15997992861373478,-747.8913886182725,3.0378727782940627,2.1446130019674125e-9,-,-,25.137486913465285,1.2527965887920631e-17,48.98720242809367,8.957052755424888,13.987717249714926,17.364181348391448,7.271348630946396,0.13782523740499147,1.81288502571742,0.7382759161689894,0.288014645979783,0.0445092904460544,0.41098747171144845,48.517510579497326,15.055005059174414,12.931258593830567,11.535735930879586,8.612469305004458,0.21402553871877772,1.852284875150551,0.9721710949348095,0.07596621745715264,0.11151971035935658,0.12205309499298746
2,1.0,2.967741935483871,1273.2258064516127,system,100.0,100.0,100.0,-8.403742364640456,-0.9479059589966911,0.0017058835090085964,0.473865871843103,0.10721806009186405,0.13070501770836307,0.1358503855544867,0.06364552628680709,4.251143515155653,2735.2131485052973,0.0036584814667586585,[1506.5931773186542],[7.124179342964397e-6],[0.15856522608260462],[-749.7120446651643],3.146370915040174,0.4989433421287498,7.507816687001456,4.352393080168695,26.169764459094846,0.6809161565596136,48.72691060750781,8.808148492089694,13.759848983019642,18.072852895341516,7.256834101944724,0.13553203559293828,1.7827246102352874,0.7259990565112947,0.28322699700192533,0.043768903911975944,0.4041533168431583,48.41503713718426,14.852375570697552,12.761541605337603,12.045178161556992,8.622941416878756,0.2111418547507916,1.827331328834703,0.9590816478457634,0.07494386704358436,0.11001759681998188,0.12040981305002559
2,1.0,2.967741935483871,1273.2258064516127,liq,96.76071759279598,97.3699241603653,97.75420681218242,-,-,-,-,-,-,-,-,,2722.6293146649127,65.21471807927445,1504.1865908370494,7.2183772151328065e-6,0.15903528064086,-749.5960562648951,3.037439237570113,2.1422123998564835e-9,-,-,25.119079126354706,1.2494347307266372e-17,49.24186265640167,9.102776566031364,14.210639495291469,16.683446303751534,7.272939374046776,0.14006721735063418,1.8423755319926138,0.7502861122006079,0.2927001743885946,0.0452333312643565,0.4176732372803758,48.62029753406909,15.253058127760767,13.097090932024418,11.049535708553218,8.587958865031794,0.21684060949234518,1.8766485383111227,0.9849590606781555,0.0769655149704886,0.11298656455725398,0.12365854455134676
2,1.0,2.967741935483871,1273.2258064516127,ol,3.239282407204016,2.6300758396346997,2.2457931878175805,-,-,-,-,-,-,-,-,,3201.0882872446728,46.01125666107481,1533.0720008902806,4.310391423004348e-6,0.14452421000342505,-749.3293861478214,7.507816687001456,4.352393080168695,-,-,99.58439704759411,60.63925745730088,33.333333333333336,0.0,0.27942683524561207,59.54749961444299,6.839740216978065,0.0,0.0,0.0,0.0,0.0,0.0,40.791359218314206,0.0,0.3191799662568601,48.87964959747222,10.009811217956715,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,2.935483870967742,1256.4516129032259,system,100.0,100.0,100.0,-8.574109374145298,-0.9424809662754376,0.0017938292489255393,0.4812369129347183,0.11354488300662045,0.13810856366391,0.1309159259764323,0.06487043601974066,5.654110110740808,2740.1545970461816,0.0036531107847401203,[1499.7474449221647],[7.07267574987285e-6],[0.15740321000099333],[-751.4175018973566],3.1955099894594463,0.6038166031774589,7.508732967365184,4.350840227827403,26.64843669034783,0.9990452685786261,48.72691060750781,8.808148492089694,13.759848983019642,18.072852895341516,7.256834101944724,0.13553203559293828,1.7827246102352874,0.7259990565112947,0.28322699700192533,0.043768903911975944,0.4041533168431583,48.41503713718426,14.852375570697552,12.761541605337603,12.045178161556992,8.622941416878756,0.2111418547507916,1.827331328834703,0.9590816478457634,0.07494386704358436,0.11001759681998188,0.12040981305002559
3,1.0,2.935483870967742,1256.4516129032259,liq,95.26041942101806,96.14404696885207,96.71055668347128,-,-,-,-,-,-,-,-,,2721.357968301495,65.05777241578966,1496.259713640998,7.210814724609168e-6,0.15807737544490919,-751.321303863399,3.0370434840636986,2.1401932041813848e-9,-,-,25.100807498942192,1.2464981381936855e-17,49.4923536403414,9.246104320401882,14.429682238252997,16.023879693367814,7.264715475020922,0.14227290145096916,1.8713876566736298,0.7620999081898658,0.2973085382006568,0.045945598132349136,0.4242500299675162,48.723287454327505,15.447463146034334,13.259688579620457,10.581354722192392,8.552910628537195,0.2196047062544683,1.9005700639891536,0.9975128921815646,0.07794637384195267,0.11442672719009915,0.12523470583088442
3,1.0,2.935483870967742,1256.4516129032259,ol,4.739580578981953,3.8559530311479393,3.289443316528715,-,-,-,-,-,-,-,-,,3208.828344440658,45.992618086342176,1524.6229014240569,4.296232464969846e-6,0.14385321715323485,-749.3816775531401,7.508732967365184,4.350840227827403,-,-,99.92716053895194,60.74251309081069,33.33333333333333,0.0,0.28495739854741214,59.231664135508076,7.150045132611171,0.0,0.0,0.0,0.0,0.0,0.0,40.709456725453656,0.0,0.32484379814458214,48.52277365666438,10.442925819737388,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,2.903225806451613,1239.6774193548385,system,100.0,100.0,100.0,-8.747276905024853,-0.9360302274964056,0.0018853420292365393,0.4886762860679447,0.12023616167427882,0.14565422466919306,0.126070123290482,0.06605833239261741,7.608650735013413,2745.0089542491246,0.003647885773759776,[1494.2968147750144],[7.024143115373162e-6],[0.15624553630117657],[-753.0989362764393],3.242062071607154,0.6894187632615046,7.5100699713219266,4.348999105304674,27.113099894307666,1.304697900409897,48.72691060750781,8.808148492089694,13.759848983019642,18.072852895341516,7.256834101944724,0.13553203559293828,1.7827246102352874,0.7259990565112947,0.28322699700192533,0.043768903911975944,0.4041533168431583,48.41503713718426,14.852375570697552,12.761541605337603,12.045178161556992,8.622941416878756,0.2111418547507916,1.827331328834703,0.9590816478457634,0.07494386704358436,0.11001759681998188,0.12040981305002559
