point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[kJ/K],Enthalpy[kJ/mol],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,3.0,1321.0,system,100.0,100.0,100.0,12.155109642989798,19.134101230655723,0.002822611647647297,0.36693814962875343,0.10922419109854108,0.1463615368862497,0.1656817461983353,0.07282546115997728,1.4414071279057974,2718.289389906093,0.003678840296615079,[1517.026295301205],[7.5536248347426515e-6],[0.16510932227710526],[-752.1739961238558],3.0082787925997034,0.07473100605141042,7.482154603444507,4.340060008113683,24.579574548891777,0.015180893998050596,47.56396528336396,9.882778294630697,12.814679312043896,18.07479563933149,7.102350224960685,0.20043445357189218,2.831683707047765,0.9033572207989822,0.0,0.029238812045298285,0.5967170522053482,46.81284681284681,16.506916506916507,11.77261177261177,11.932611932611932,8.35960835960836,0.3093003093003093,2.875102875102876,1.1821011821011818,0.0,0.0728000728000728,0.17610017610017606
1,1.0,3.0,1321.0,liq,99.92615100533283,99.94070107645607,99.94947777394422,-,-,-,-,-,-,-,-,,2718.009231281118,66.63068884163279,1516.953216668894,7.55599154880978e-6,0.16512145360693478,-752.1606332336964,3.005768205925514,2.008590821431635e-9,-,-,24.556241737396586,1.0965637248042231e-17,47.57406873004894,9.889769431699587,12.823431395810356,18.042950058045424,7.105080973766806,0.20057899529362272,2.833720185756172,0.9039998121075008,0.0,0.029259774274121023,0.5971406431974494,46.8156931981551,16.51608967158156,11.778866412741875,11.909782541557757,8.36155484903619,0.30947644048477563,2.8767344514563042,1.1827627410936072,0.0,0.07284122235398678,0.17619847153882787
1,1.0,3.0,1321.0,ol,0.07384899466716661,0.05929892354394141,0.05052222605578132,-,-,-,-,-,-,-,-,,3190.460682727644,46.090944619454596,1559.929158455003,4.351189536547765e-6,0.14869424307521353,-756.8620611081338,7.482154603444507,4.340060008113683,-,-,98.48253313896899,60.09590306369098,33.33333333333333,0.0,0.25822394130403986,59.806114754592585,6.602327970770033,0.0,0.0,0.0,0.0,0.0,0.0,40.85647726017792,0.0,0.2954314725991214,49.17030302090779,9.677788246315187,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,2.935483870967742,1313.0645161290322,system,100.0,100.0,100.0,12.1479137775913,19.208120517238697,0.0029215395847153065,0.36985250806937264,0.1120890369461656,0.1498859204739544,0.16295728322976766,0.07351149354760012,1.618409778398023,2720.2646733379806,0.003676792975796013,[1512.7682727698436],[7.528595311322416e-6],[0.16455266725961976],[-753.1283978176107],3.0328605820291217,0.2586657938167088,7.4828833360523745,4.339645331587973,24.778979733798046,0.18200744942486846,47.56396528336396,9.882778294630697,12.814679312043896,18.07479563933149,7.102350224960685,0.20043445357189218,2.831683707047765,0.9033572207989822,0.0,0.029238812045298285,0.5967170522053482,46.81284681284681,16.506916506916507,11.77261177261177,11.932611932611932,8.35960835960836,0.3093003093003093,2.875102875102876,1.1821011821011818,0.0,0.0728000728000728,0.17610017610017606
2,1.0,2.935483870967742,1313.0645161290322,liq,99.11573108952902,99.28931056004024,99.39480296054639,-,-,-,-,-,-,-,-,,2716.874894313443,66.54991700211522,1511.9795614737889,7.55698495611665e-6,0.16469691165024627,-753.0536656815852,3.0028688912405435,2.006570918047243e-9,-,-,24.49866292167588,1.0939026332763809e-17,47.690553147094334,9.970656781896746,12.926218027912997,17.702839776697427,7.107698028110803,0.20221942948390037,2.8568957316185806,0.9113942138678943,0.0,0.02949908946111898,0.6020257738561858,46.85512999817168,16.624494825989753,11.854257187126395,11.666560789207967,8.351233070518365,0.31150760016134565,2.895615052212444,1.1905268286424746,0.0,0.07331933029275597,0.17735531767683857
2,1.0,2.935483870967742,1313.0645161290322,ol,0.8842689104709731,0.7106894399597722,0.6051970394536097,-,-,-,-,-,-,-,-,,3193.8454012523325,46.08378066324767,1557.65773921412,4.346463308452562e-6,0.14838463504315558,-757.007444606158,7.4828833360523745,4.339645331587973,-,-,98.63716985223698,60.14816251883529,33.33333333333333,0.0,0.260831188734886,59.66416251555705,6.74167296237472,0.0,0.0,0.0,0.0,0.0,0.0,40.819523700301254,0.0,0.298144491136991,49.00922768471454,9.873104123847217,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,2.870967741935484,1305.1290322580644,system,100.0,100.0,100.0,12.140693953863385,19.282915962844207,0.0030245510541490935,0.37278010051383714,0.11502881145597502,0.1534341488558048,0.16025470426329655,0.07419439429240401,1.8211220554493306,2722.22222061242,0.003674774057824361,[1508.9018042400278],[7.503471123238686e-6],[0.16399819464232754],[-754.0752747599062],3.0566181658360287,0.35617717040716895,7.483509662235529,4.339156346051747,24.973027046078176,0.3453470364204223,47.56396528336396,9.882778294630697,12.814679312043896,18.07479563933149,7.102350224960685,0.20043445357189218,2.831683707047765,0.9033572207989822,0.0,0.029238812045298285,0.5967170522053482,46.81284681284681,16.506916506916507,11.77261177261177,11.932611932611932,8.35960835960836,0.3093003093003093,2.875102875102876,1.1821011821011818,0.0,0.0728000728000728,0.17610017610017606
3,1.0,2.870967741935484,1305.1290322580644,liq,98.32424665307961,98.65195070503063,98.85265342270482,-,-,-,-,-,-,-,-,,2715.730715112455,66.473818867402,1507.4058488729613,7.557399931270029e-6,0.164269583727963,-753.9505393536808,2.999906597319047,2.004640118742016e-9,-,-,24.440054520527063,1.0913386583996243e-17,47.80610677797115,10.050898680136473,13.028109611749963,17.36747130750492,7.108337980122409,0.20384710048454951,2.8798903444588593,0.9187296760213263,0.0,0.029736522973974475,0.6068719985763616,46.89460714051907,16.731863872145038,11.92886186536821,11.42750018371055,8.338816983333546,0.31351984948813905,2.9143192462226066,1.1982167925148508,0.0,0.07379293801142502,0.17850112868656276
3,1.0,2.870967741935484,1305.1290322580644,ol,1.6757533469203996,1.3480492949693728,1.1473465772951885,-,-,-,-,-,-,-,-,,3197.2787953043176,46.076743243100054,1553.9789458067644,4.339217008917541e-6,0.14807453413225832,-757.1406407761203,7.483509662235529,4.339156346051747,-,-,98.79126743680641,60.199253347591004,33.33333333333333,0.0,0.26342408590434974,59.51947167154076,6.883770909221555,0.0,0.0,0.0,0.0,0.0,0.0,40.78191747959701,0.0,0.30083091102967174,48.84533425773681,10.071917351636523,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,2.806451612903226,1297.1935483870966,system,100.0,100.0,100.0,12.133450027925255,19.358499984319042,0.003131728674942863,0.37571561605832715,0.11804006111186027,0.15699215316189774,0.15756791490467237,0.0749034922816719,2.053416114447081,2721.5609047411194,0.0036757694736236756,[1507.2535142725756],[7.500528539848479e-6],[0.16374789873245296],[-755.8496943260246],3.057133504710956,0.3665787510752752,7.484243189654203,4.338517781421377,24.948254770805313,0.36572330196159986,47.661379043524775,9.950389693335108,12.90046275649151,17.788991311145278,7.106092309413399,0.20180862947970407,2.8510914410142707,0.9095423792611131,0.0,0.029439157744234733,0.600803278590598,46.845499991017185,16.597446097614867,11.835446448233952,11.728101600408843,8.352740088154672,0.31100114381605987,2.890906653917225,1.1885907499002768,0.0,0.07320011209679085,0.17706711484013676
