point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[kJ/K],Enthalpy[kJ/mol],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,50.0,1380.0,system,100.0,100.0,100.0,-4.80448448110314,-1.2237265749298474,0.2873988911093955,0.206973085975268,0.05348473495220556,0.08480665655056234,0.21409773471551807,0.1146674249236786,1.0313844432958805,3363.109612997642,0.002976978514574763,[1263.9106593339216],[3.475850501724015e-6],[0.12816690459470104],[-591.7228930422887],6.871731104431906,3.0004700365586423,7.686137330066571,4.222201322447653,118.43838837252659,30.277471966818258,39.562857568221595,1.6721448801885908,2.948129475189919,49.364182625729754,5.897020770529389,0.014792076158726849,0.21657336932878785,0.09697480363147758,0.09676483153833813,0.10189837382162956,0.028661225661812763,46.011586159273,3.3002995387465752,3.200399443736689,38.50938872431563,8.201797800311594,0.026973025652669073,0.2598401471207121,0.14995004260983802,0.02997002850296563,0.29980018512466616,0.009994904605644029
1,1.0,50.0,1380.0,ol,57.75923985316979,54.92607911000606,55.49131777936195,-,-,-,-,-,-,-,-,,3324.8944228259716,44.32558883891132,1337.4609042614663,3.728854251131452e-6,0.1288999342361595,-583.368700033279,7.663034116103859,4.221838945445493,-,-,116.22786804289203,59.26266577072246,33.33333333333333,0.0,0.08939942200873596,59.54548548808694,7.031781756570994,0.0,0.0,0.0,0.0,0.0,0.0,40.76594844174121,0.0,0.10205436799170624,48.847547991629064,10.284449198638022,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,50.0,1380.0,opx,14.810977785646026,14.91778313426018,15.183329675117086,-,-,-,-,-,-,-,-,,3300.3619169637304,62.516168151732,1260.114343872941,2.8337504789459757e-6,0.1269701501665143,-593.8973350813422,7.502009636903408,4.159531514634999,-,-,109.60901940178863,57.10187976970538,49.89810892229456,0.6698603460692075,1.2661247168429943,43.98014566364191,3.7264487456924322,0.0,0.29506034637678624,0.000564136780300182,0.12714372630481263,0.036543395996994174,0.0,57.615516904830535,1.3126216047985624,1.3646143811809297,34.06333466676549,5.145734524134246,0.0,0.3514696846090166,0.0008660598862548578,0.039096724143202415,0.10674544965175896,0.0
1,1.0,50.0,1380.0,liq,0.16812969306311598,0.15775479604188902,0.18507970895443104,-,-,-,-,-,-,-,-,,2863.1761207787013,44.14620110378089,1491.8264578369594,2.815463078413304e-5,0.13235530017173855,-486.68202392445096,3.5147706976902096,2.0851809942864567e-9,-,-,35.37056991112079,1.2449031876670927e-17,31.80758717304364,1.9916243476068893,7.551288698192347,30.936856468808564,9.415868301677214,0.3117747728117402,0.16101182640718756,0.4212552190184352,0.3512742670331786,0.004365316646443014,17.047093608754356,39.42471017827584,4.189335220867345,8.736489084633117,25.721073347873947,13.957094121858804,0.6058982993737857,0.2058814449287856,0.6942105509101973,0.11595091449114411,0.013687956799282662,6.33566887998777
1,1.0,50.0,1380.0,cpx,15.561858148339788,16.34662953996305,16.61029354019425,-,-,-,-,-,-,-,-,,3305.7896277573163,64.31877884598629,1188.8723608152116,3.1499501008785313e-6,0.1273751935879362,-605.8608616544805,7.310273414705925,3.864475978748482,-,-,110.83606707076316,49.36923945981007,50.9862272844672,1.025156201684962,12.40263664475997,30.996090327906035,3.155653044077337,0.09178261288591695,1.1094357938803459,0.03470442866738276,0.16916096533690692,0.0291526963339405,0.0,56.44975275812881,1.9261899501070676,12.817439257815305,23.019251954696458,4.178258088372791,0.15932743422412576,1.267164471838708,0.051086035140720715,0.04987689162265171,0.08165315805333999,0.0
1,1.0,50.0,1380.0,g,11.699794519781289,13.651753419728832,12.529979296372307,-,-,-,-,-,-,-,-,,3659.8423787965453,117.22518320176272,1064.908003603106,3.1185113184770363e-6,0.12705595936495348,-608.3643245286819,8.624622336742126,4.852714592390821,-,-,157.32073489481436,86.1850386333125,42.15044297743616,12.051181717529346,6.545152259857333,30.60340703721675,6.650850066344373,0.0,0.0,0.7769488709742736,0.4360087575040156,0.7860083131377463,0.0,42.01146989476001,20.38427509265513,6.0892466890548365,20.460235794910663,7.927563685469425,0.0,0.0,1.0295947178389557,0.11573134616553028,1.9818827791454563,0.0
2,1.0,49.03225806451613,1378.7096774193546,system,100.0,100.0,100.0,-4.813976165492187,-1.171539612799617,0.2875766661176655,0.20927875143342684,0.056281594654635905,0.08798724750713548,0.21185279892126785,0.11303734937965343,1.0057838150597638,3360.395700981207,0.0029793766097305245,[1265.0282580548733],[3.4885714559411894e-6],[0.12816759259597102],[-593.2085032601389],6.863910660659272,3.00166103374125,7.679905309887033,4.224037431383265,117.94981386138747,30.277060964133483,39.562857568221595,1.6721448801885908,2.948129475189919,49.364182625729754,5.897020770529389,0.014792076158726849,0.21657336932878785,0.09697480363147758,0.09676483153833813,0.10189837382162956,0.028661225661812763,46.011586159273,3.3002995387465752,3.200399443736689,38.50938872431563,8.201797800311594,0.026973025652669073,0.2598401471207121,0.14995004260983802,0.02997002850296563,0.29980018512466616,0.009994904605644029
2,1.0,49.03225806451613,1378.7096774193546,cpx,15.667089502244625,16.456429655572602,16.720222371678155,-,-,-,-,-,-,-,-,,3303.4532468695315,64.35794462461972,1188.0843198919224,3.1622917821855877e-6,0.12737639419138705,-607.2656471435226,7.302413596839403,3.8677753557981687,-,-,110.2659529405425,49.41862395918425,50.97858354879528,1.02990383128374,12.327873153469309,31.053169049364694,3.174962795545586,0.09090203895657525,1.108638866861609,0.037347433549670406,0.16911881965368142,0.029500462519862564,0.0,56.44492287621078,1.935234938767973,12.740995364562899,23.06312587620793,4.204095846569482,0.15780898375583602,1.2663357500209396,0.05498016198724125,0.04986767462748895,0.08263252728945049,0.0
2,1.0,49.03225806451613,1378.7096774193546,g,11.639693073095712,13.581000239115118,12.46308300693735,-,-,-,-,-,-,-,-,,3657.4707819981104,117.28402112028388,1064.409876002937,3.1293516184488115e-6,0.12704140420124277,-609.8306508725528,8.621201268845429,4.854231197353581,-,-,156.93121086467494,86.18303411209132,42.15385344010025,12.055393635335543,6.537979227857547,30.631809690545353,6.625073161463423,0.0,0.0,0.7753012316844485,0.4328537040408087,0.7877359089726212,0.0,42.01762162124452,20.392735343245526,6.082971783798538,20.4805663429423,7.897355925585496,0.0,0.0,1.0274786127761681,0.11490141618021156,1.9863689542272343,0.0
2,1.0,49.03225806451613,1378.7096774193546,opx,14.764162194398212,14.877871078860514,15.14036598610263,-,-,-,-,-,-,-,-,,3298.215389283691,62.56925211732246,1255.630923037152,2.8520876006348593e-6,0.1269718471572358,-595.4018001611649,7.490850259348664,4.1632380518240035,-,-,108.85024227513452,57.16648669492108,49.86509124476817,0.7051365821868866,1.2822181609256915,43.941442893906625,3.748542151793581,0.0,0.2885300306446686,0.0006386598903706605,0.13029671227301687,0.03810356361096792,0.0,57.55049288040992,1.3811014411012263,1.3813140654703244,34.017458617139106,5.173824304334693,0.0,0.34353033993211063,0.0009800093149401287,0.04004754937267152,0.11125079292498367,0.0
2,1.0,49.03225806451613,1378.7096774193546,ol,57.76042977533387,54.92610641278893,55.49001389674436,-,-,-,-,-,-,-,-,,3322.2979366088553,44.35847297740903,1341.2241469011067,3.740464048915958e-6,0.12890188764822058,-584.8908428038194,7.659718194850417,4.224135515381174,-,-,115.88237779962415,59.280828049861256,33.33333333333333,0.0,0.09228755032240928,59.550211849949044,7.024167266395209,0.0,0.0,0.0,0.0,0.0,0.0,40.76756386353981,0.0,0.10535550038774319,48.85336103858637,10.273719597486073,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,49.03225806451613,1378.7096774193546,liq,0.1686254549275967,0.15859261366283098,0.1863147385374886,-,-,-,-,-,-,-,-,,2857.0006632604013,44.220242426845935,1492.038895240522,2.804469765801092e-5,0.13258712271349526,-488.4370105364126,3.507281593412156,2.0839852584025334e-9,-,-,35.14403422815063,1.2407938330568349e-17,31.931160721817974,2.0887034346652977,7.616827203309564,30.6730349745841,9.381114577408228,0.32422036647569263,0.18043551490580456,0.44413557211891785,0.3587981964876342,0.004568223145289712,16.997001215081482,39.485650442186184,4.3833007968248126,8.791779248464842,25.4423054741806,13.87317547556092,0.6286166239386809,0.23018035838643308,0.7302108494815482,0.11815848142198797,0.014290814816994723,6.302331434736998
3,1.0,48.064516129032256,1377.4193548387098,system,100.0,100.0,100.0,-4.839209297396326,-1.134760668262891,0.28728858874847896,0.2116247793290353,0.05962592909831802,0.09132517711633999,0.20957796631890144,0.1116224811799263,0.9794331045742181,3357.808124486783,0.0029816641625200384,[1261.859160122793],[3.497783062892143e-6],[0.1281717480676346],[-594.6895676456095],6.855509927995075,3.002762630320386,7.673111553297425,4.225740392089765,117.44237848774155,30.27595704280517,39.562857568221595,1.6721448801885908,2.948129475189919,49.364182625729754,5.897020770529389,0.014792076158726849,0.21657336932878785,0.09697480363147758,0.09676483153833813,0.10189837382162956,0.028661225661812763,46.011586159273,3.3002995387465752,3.200399443736689,38.50938872431563,8.201797800311594,0.026973025652669073,0.2598401471207121,0.14995004260983802,0.02997002850296563,0.29980018512466616,0.009994904605644029
3,1.0,48.064516129032256,1377.4193548387098,liq,0.16929083313977256,0.15963650942046975,0.1877775173043816,-,-,-,-,-,-,-,-,,2851.2145908661887,44.31277513516595,1490.3849053571817,2.7921742862780373e-5,0.13283314263869564,-490.2599164755676,3.4996230222196583,2.082641759672911e-9,-,-,34.91985523146912,1.236684875494422e-17,32.06763438822934,2.1910493846706123,7.68215020985254,30.39368710263673,9.354488291984795,0.3369838715621312,0.20230253299264575,0.4728839945333796,0.3638808100122153,0.004777289178053094,16.930162124347557,39.54948401884133,4.585914648981807,8.84371572607265,25.143886565741447,13.797194374159972,0.6516343849223969,0.25739308006454104,0.7754193700705418,0.11951519099995243,0.014905293088021788,6.2609373470573475
3,1.0,48.064516129032256,1377.4193548387098,cpx,15.790321452012352,16.584887006816153,16.849320496261996,-,-,-,-,-,-,-,-,,3301.1966851369625,64.39670786729879,1185.7679889667256,3.1751380756390546e-6,0.12737938279624378,-608.6496742775043,7.293972247200106,3.8710185936067707,-,-,109.67340563665127,49.46772241119552,50.97024399420276,1.0360586929041171,12.247858161773689,31.109031820552175,3.199820250044896,0.08996468418569856,1.1079747183566635,0.04002619598496299,0.1690988261762361,0.029922655818802428,0.0,56.437510172852434,1.9468630165226264,12.658707434311184,23.105360591118192,4.2371473224680445,0.15618674420852624,1.2656179686610396,0.05892554162488488,0.04986338815418011,0.0838178200789081,0.0
3,1.0,48.064516129032256,1377.4193548387098,g,11.57375532066208,13.503237012829281,12.389848801181538,-,-,-,-,-,-,-,-,,3655.21694715799,117.34416610816695,1060.686995102356,3.1351296415158627e-6,0.12702921489286564,-611.282205239376,8.617498000987696,4.85605865824297,-,-,156.5146749198714,86.19478820259542,42.15678003436217,12.059119919309914,6.533119308277691,30.650937111541538,6.6069035343645295,0.0,0.0,0.7756893140322846,0.42924530289465107,0.7882054752172056,0.0,42.02198051371347,20.39973857949125,6.078658644124532,20.49405816546316,7.875967214202328,0.0,0.0,1.0280281954520951,0.11394747224713103,1.9876212153060335,0.0
3,1.0,48.064516129032256,1377.4193548387098,opx,14.705241761717957,14.825619958648858,15.085089784988451,-,-,-,-,-,-,-,-,,3296.144468293035,62.62346203426031,1252.6971700298513,2.868565699431604e-6,0.12697642508575083,-596.895245622823,7.4798034809396245,4.167295196631979,-,-,108.08824978916455,57.24199603418725,49.82763120621117,0.7428084829185556,1.3006643020584927,43.896374120342514,3.7763384647797036,0.0,0.2811400710795022,0.000723890515059248,0.1347910373862452,0.03952842470875216,0.0,57.478076527094004,1.4541484423839146,1.4004747614460962,33.96532352165022,5.20954442114612,0.0,0.3345618238928311,0.0011102301147399535,0.04140788602833565,0.11535238624372825,0.0
3,1.0,48.064516129032256,1377.4193548387098,ol,57.761390632467844,54.92661951228525,55.48796340026363,-,-,-,-,-,-,-,-,,3319.9027379834565,44.3913517175885,1337.7052121147276,3.7472571634685835e-6,0.12890794024287452,-586.3752331529445,7.655803216821836,4.22622451269508,-,-,115.52163100434959,59.29669526294697,33.33333333333333,0.0,0.09298745137782385,59.54679083649707,7.0268883787917815,0.0,0.0,0.0,0.0,0.0,0.0,40.766759752455265,0.0,0.10615241386055853,48.84959099064526,10.277496843038914,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,47.096774193548384,1376.1290322580644,system,100.0,100.0,100.0,-4.851094075680872,-1.0842914532408656,0.28667115094049544,0.21392379863597993,0.06278198961489091,0.09484181489572106,0.20740289244002066,0.11005234899031219,0.9508767896040285,3355.0759668592914,0.002984084285233362,[1266.8200383996632],[3.5114619601280445e-6],[0.12817342032741932],[-596.1759248147847],6.847616728485573,3.0039162701256434,7.666828871976119,4.227546138393099,116.95292984872376,30.274571461779438,39.562857568221595,1.6721448801885908,2.948129475189919,49.364182625729754,5.897020770529389,0.014792076158726849,0.21657336932878785,0.09697480363147758,0.09676483153833813,0.10189837382162956,0.028661225661812763,46.011586159273,3.3002995387465752,3.200399443736689,38.50938872431563,8.201797800311594,0.026973025652669073,0.2598401471207121,0.14995004260983802,0.02997002850296563,0.29980018512466616,0.009994904605644029
4,1.0,47.096774193548384,1376.1290322580644,g,11.50457979194629,13.422168547377645,12.313341217686599,-,-,-,-,-,-,-,-,,3652.882376413351,117.4051972423164,1065.2637766756013,3.137269183514834e-6,0.12701544107925955,-612.7482120256459,8.615432063070823,4.857632083466286,-,-,156.21021944693638,86.19556577576186,42.16024979614453,12.061961661661156,6.531142092667358,30.67366087533616,6.581530637137107,0.0,0.0,0.7745188274234303,0.4257824907863337,0.7911536188439221,0.0,42.02697853137545,20.405293194602535,6.07704155667379,20.51000313170979,7.846008034889068,0.0,0.0,1.0265145376096405,0.11303237414437485,1.9951286389953675,0.0
