point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[kJ/K],Enthalpy[kJ/mol],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,50.0,1415.0,system,100.0,100.0,100.0,-4.267609744203159,-0.9458343195593013,0.255724799646855,0.20794373345573858,0.0456269965016875,0.09085914662744855,0.2243239776102869,0.1115675550333524,0.6522320593025066,3359.8353131295594,0.002980038283033227,[1269.2094672125309],[3.558671380240893e-6],[0.1291500038393],[-587.9176951273524],6.873776082193142,2.995045159489677,7.683932932836534,4.212403902534928,118.56322462068995,30.138715614911312,38.43891717056032,1.7734583909003045,2.8199591867831773,50.49364246760969,5.877577139817602,0.013662526642051684,0.24964256501438056,0.09985702500753858,0.09586294057110932,0.1088441783304364,0.028576408763392035,44.852484627846614,3.5118525021949085,3.0713991856302356,39.520932543194846,8.201825916542424,0.024995818449531578,0.3005077280621724,0.15491808375376886,0.02978901659541376,0.3212962503502789,0.009998327379812632
1,1.0,50.0,1415.0,g,12.61375503946753,14.730728379790012,13.541856782905825,-,-,-,-,-,-,-,-,,3650.2630469285637,117.24535047734628,1064.1315333858115,3.140796463295782e-6,0.1279148595278603,-604.7756746640603,8.60321804150857,4.840003572456663,-,-,156.16256494008752,85.50972826331169,42.15017404373419,12.050876121474225,6.201220820799498,31.24862405499456,6.349923065893681,0.0,0.0,0.732553798439897,0.4585200497568254,0.8081080449071166,0.0,42.114474657934494,20.433865962839924,5.783454095816655,20.9429587197654,7.587475947790036,0.0,0.0,0.9731497427729814,0.12200577975549469,2.0426150933250167,0.0
1,1.0,50.0,1415.0,ol,64.44786124285051,61.353764354933546,62.12480029464994,-,-,-,-,-,-,-,-,,3314.0142005669004,44.37288577713383,1343.717795607369,3.749705657164038e-6,0.12973081949770596,-580.5558776843161,7.6515165639965925,4.216241698224681,-,-,115.47167810603771,58.91221654684331,33.33333333333333,0.0,0.09707838077513327,59.88557700211378,6.684011283777751,0.0,0.0,0.0,0.0,0.0,0.0,40.85619193698064,0.0,0.11106564541174338,49.23529000600084,9.797452411606788,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,50.0,1415.0,cpx,19.161822208288818,20.107472249114615,20.430134018029484,-,-,-,-,-,-,-,-,,3302.664202684847,63.95237584902905,1196.942648089994,3.100529400046821e-6,0.12819342927331137,-599.2312365680384,7.286942835057544,3.8512349435386652,-,-,110.05640242728607,48.98515043053623,51.074620746854436,1.1599321568386878,9.995880800658087,32.98833626374192,3.2515386540080917,0.06876786123119212,1.2323465496528883,0.03561033548282444,0.1649911398035806,0.027975491728288133,0.0,56.7931978390334,2.1888886229594546,10.37505295716737,24.605189128439758,4.3239129524595565,0.11989406048876314,1.413662292618719,0.05264721108367282,0.04885869399913388,0.07869624175017682,0.0
1,1.0,50.0,1415.0,opx,3.5906233034158332,3.6307062201034497,3.696532919064873,-,-,-,-,-,-,-,-,,3295.905019743583,62.560325324889845,1259.0127977804348,2.851276196931653e-6,0.12790468666114585,-590.2040942065239,7.475702515954704,4.1427824439052605,-,-,108.77343369835201,56.566452347783965,49.91038455480418,0.7516633162765152,1.2780520473360297,43.88263678067031,3.6053316440466463,0.0,0.36674121413711414,0.0006179959964183278,0.16099138890041798,0.04358105783237273,0.0,57.59456418116743,1.4720204340294085,1.3766299110985734,33.96709591402542,4.975453240735753,0.0,0.4365881528020022,0.0009481659912833418,0.04947471328013153,0.1272252868699729,0.0
1,1.0,50.0,1415.0,liq,0.1859382059773162,0.17732879605837676,0.20667598534988668,-,-,-,-,-,-,-,-,,2879.1706425975945,45.7786740192399,1490.9211614471212,2.6566562877164877e-5,0.13425200780752444,-491.31623409997366,3.5924802650541126,2.0857092116461997e-9,-,-,37.158330014145506,1.2524918940369112e-17,32.63664602128752,2.175160204318399,7.729809311320529,31.43227149589028,9.348760339051397,0.29220440020362903,0.2379875581359215,0.37091499394013094,0.40207474132347326,0.005407301175951983,15.368763633352744,39.93068277646595,4.516399669683528,8.82771038162554,25.7959843232571,13.67892883604699,0.5605430154533827,0.30038422122190744,0.6033700335008552,0.1310080749263477,0.0167365857030867,5.6382520821153355
2,1.0,49.03225806451613,1413.7096774193546,system,100.0,100.0,100.0,-4.2759276278535046,-0.8935981974895998,0.2546033209117621,0.21023200375480466,0.04757952801219647,0.09419901038404879,0.221992620603777,0.11006661229873536,0.6349098047191525,3357.273850851803,0.0029823163389578917,[1268.007602012125],[3.570549918942371e-6],[0.1291531013312247],[-589.3959140376323],6.866456596786549,2.9963190104655273,7.678229263149127,4.214393173947517,118.10102477609814,30.141361608209785,38.43891717056032,1.7734583909003045,2.8199591867831773,50.49364246760969,5.877577139817602,0.013662526642051684,0.24964256501438056,0.09985702500753858,0.09586294057110932,0.1088441783304364,0.028576408763392035,44.852484627846614,3.5118525021949085,3.0713991856302356,39.520932543194846,8.201825916542424,0.024995818449531578,0.3005077280621724,0.15491808375376886,0.02978901659541376,0.3212962503502789,0.009998327379812632
2,1.0,49.03225806451613,1413.7096774193546,cpx,19.361886237607397,20.313532779560443,20.63844250401371,-,-,-,-,-,-,-,-,,3300.31073150625,63.98872718838306,1201.1983959431482,3.1114766069083304e-6,0.12819517855592008,-600.602920695691,7.279814740964073,3.856434992514786,-,-,109.45892483879175,49.082521037116685,51.057707359961334,1.1629038606611166,9.899837837371935,33.083086792663494,3.273884910023833,0.06756588052119633,1.2243876360005463,0.037882676884883,0.16451678465001138,0.028226261261649992,0.0,56.7856332809928,2.1949310327105636,10.277401552912776,24.680747564974716,4.354491230806446,0.11782178101394411,1.404810507483384,0.05601778799406577,0.04872787083358614,0.07941739027770411,0.0
2,1.0,49.03225806451613,1413.7096774193546,liq,0.18695366820993667,0.17876772031501023,0.20858039406383308,-,-,-,-,-,-,-,-,,2873.835534693371,45.87434008205851,1486.7862063617297,2.6423640615754377e-5,0.13449645951167616,-493.18568613600365,3.585178194783443,2.0839942874467e-9,-,-,36.938852771058926,1.2481160236256673e-17,32.77725566674734,2.277459668630335,7.801746312567216,31.158142535706208,9.327495735275052,0.30033048811120555,0.2643960332187263,0.38932750039797964,0.4118582285196305,0.005676035404492014,15.286311795421817,39.99746217928777,4.71639798718245,8.88647969822404,25.503896048374575,13.611994199121241,0.5746193525359914,0.33284070305845076,0.6316595424634307,0.1338436136243642,0.01752225653941723,5.5932844195882865
2,1.0,49.03225806451613,1413.7096774193546,ol,64.44907023233765,61.35404961701614,62.12510963026162,-,-,-,-,-,-,-,-,,3311.48168360477,44.405875751118266,1339.916646394668,3.7620354945760535e-6,0.12973535803950773,-582.0597738149964,7.6472378709057605,4.218484726607709,-,-,115.08313659280195,58.92984778493527,33.33333333333333,0.0,0.09901001706921787,59.88791776721312,6.679738882384329,0.0,0.0,0.0,0.0,0.0,0.0,40.85706140769561,0.0,0.1132780067180769,49.238262309537426,9.791398276048879,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,49.03225806451613,1413.7096774193546,g,12.584797726335568,14.696504985610561,13.50849420677094,-,-,-,-,-,-,-,-,,3647.9881389216775,117.30643062699895,1064.6693793321847,3.147356410473808e-6,0.1279032244323137,-606.2184606162144,8.599772053492565,4.840991531799637,-,-,155.80246298334092,85.49132802523577,42.153031072486165,12.056094588049385,6.199637184663564,31.26410903471049,6.3322123506443955,0.0,0.0,0.7278431687913932,0.4575421643704439,0.8095304362841658,0.0,42.118795293419005,20.44342614132875,5.782178406770648,20.95406616501616,7.566576914984779,0.0,0.0,0.9669256355322466,0.12174981585406977,2.0462816270943494,0.0
2,1.0,49.03225806451613,1413.7096774193546,opx,3.4172921355094634,3.457144897497852,3.5193732648898877,-,-,-,-,-,-,-,-,,3293.8100009344153,62.6144254114602,1261.7050789109812,2.868471662954876e-6,0.12790994623243837,-591.7036423674906,7.465182812364871,4.147478005948644,-,-,108.01563295473082,56.65871584662212,49.868512375945976,0.7902908975590632,1.29608534977465,43.84681013561972,3.6311198924961006,0.0,0.35624048314519685,0.0006971624011693725,0.1648838860620539,0.04535981699608704,0.0,57.51828079989881,1.5469146993428722,1.3953757341670172,33.92287168663747,5.00860659294425,0.0,0.42388144161867297,0.0010691079841664824,0.050646303929945895,0.1323536334767944,0.0
3,1.0,48.064516129032256,1412.4193548387098,system,100.0,100.0,100.0,-4.279677734004433,-0.8364590799571683,0.2529582118073933,0.21251045514418254,0.04977725161159341,0.09768282858040217,0.21971854815102548,0.10851490594507925,0.6163998813610158,3354.6560215349914,0.002984646844756223,[1265.7757460668172],[3.582701425408765e-6],[0.12915600967521051],[-590.8755958641749],6.858923582987916,2.997693893966309,7.672390839688263,4.21652927251255,117.62522485129969,30.145504879341786,38.43891717056032,1.7734583909003045,2.8199591867831773,50.49364246760969,5.877577139817602,0.013662526642051684,0.24964256501438056,0.09985702500753858,0.09586294057110932,0.1088441783304364,0.028576408763392035,44.852484627846614,3.5118525021949085,3.0713991856302356,39.520932543194846,8.201825916542424,0.024995818449531578,0.3005077280621724,0.15491808375376886,0.02978901659541376,0.3212962503502789,0.009998327379812632
3,1.0,48.064516129032256,1412.4193548387098,opx,3.2599742008567008,3.2997594089959454,3.3586640773293217,-,-,-,-,-,-,-,-,,3291.7190097305165,62.66887725891706,1254.9056581788566,2.886175819516701e-6,0.12791611551470664,-593.2079147514934,7.454595783231928,4.15250051275718,-,-,107.24415359157388,56.75996840539589,49.822633174206985,0.8328293734211074,1.3153533184165602,43.80759942058713,3.657557772771309,0.0,0.345896653953612,0.0007747786063478784,0.17034458738805883,0.04701092064889193,0.0,57.43576761316278,1.629339888873698,1.4153904426479833,33.87508006697401,5.042475493132752,0.0,0.4113616125539973,0.0011875215660411703,0.05229668376490253,0.13710067732383807,0.0
3,1.0,48.064516129032256,1412.4193548387098,g,12.551604265737184,14.657099857036993,13.470352081777481,-,-,-,-,-,-,-,-,,3645.6598750783774,117.36957677455638,1064.2677742571877,3.154676099287511e-6,0.12789150762509657,-607.6691068776073,8.59622277799373,4.842474879905034,-,-,155.4106966401355,85.48913078055142,42.154547772496024,12.05750142030052,6.200921379436639,31.28210007376191,6.310914850140108,0.0,0.0,0.7258162359818676,0.45678614743038537,0.8114121204525658,0.0,42.12301918078328,20.44712640195224,5.783748011512161,20.967472417650722,7.541612713292436,0.0,0.0,0.964294896402058,0.12155645912347746,2.051169919283631,0.0
3,1.0,48.064516129032256,1412.4193548387098,liq,0.1881888099998093,0.1804769357702044,0.21079708291314048,-,-,-,-,-,-,-,-,,2868.5614714569056,45.985720725386386,1487.9619033926085,2.6259992032377974e-5,0.13474781618684994,-495.19178424269717,3.5798975555354096,2.081870667673761e-9,-,-,36.76252717625779,1.243287746924191e-17,32.936019747649645,2.388389189397621,7.878097685642765,30.871570662247667,9.297737448098605,0.3123222749688182,0.2926883210727085,0.4098577860732103,0.42243339779566536,0.005933990677695824,15.184949496375594,40.0744035734605,4.931748857701238,8.947369971126097,25.195895649240992,13.529136541316655,0.5958266046869405,0.3673863314800966,0.663036253022183,0.13688134318268075,0.018265346014651743,5.540049528767947
