point[#],X[0.0-1.0],Sample ,P[kbar],T[°C],phase,mode[wt%],density[kg/m3],SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,CO2,H2O,,,,,,,,,
1,1,m1,70,1630,cpx,100,3300,56.30,0.17,4.50,0.75,5.91,0.17,20.32,10.08,1.55,0.02,0.09,0.01,0,0,,,,,,,,,
1,1,m1,70,1630,g,100,3600,43.44,0.44,21.96,1.79,8.52,0.27,20.78,4.27,0.13,0.00,0.03,0.04,0,0,,,,,,,,,
1,1,m1,70,1630,liq,100,2800,42.93,2.41,4.98,0.30,12.83,0.27,17.05,10.17,2.56,0.71,0.10,0.42,1.62,0.82,,,,,,,,,
2,1,m2,70,1630,ol,100,3300,40.76,0.02,0.16,0.05,10.18,0.14,47.29,0.17,0.07,0.00,0.38,0.01,0,0,,,,,,,,,
2,1,m2,70,1630,opx,100,3300,57.85,0.09,1.85,0.18,5.99,0.13,31.56,1.88,0.48,0.00,0.15,0.01,0,0,,,,,,,,,
2,1,m2,70,1630,cpx,100,3300,57.07,0.12,2.72,0.27,5.72,0.16,25.76,6.97,1.25,0.01,0.11,0.00,0,0,,,,,,,,,
2,1,m2,70,1630,g,100,3600,43.92,0.51,21.66,1.09,6.86,0.22,22.85,3.37,0.08,0.00,0.04,0.04,0,0,,,,,,,,,
2,1,m2,70,1630,liq,100,2800,36.39,2.31,3.29,0.17,13.64,0.31,22.18,8.39,2.84,0.90,0.11,0.41,1.67,0.84,,,,,,,,,
3,1,m3,70,1630,opx,100,3300,56.98,0.07,2.13,0.17,5.34,0.12,32.50,1.95,0.47,0.00,0.11,0.00,0,0,,,,,,,,,
3,1,m3,70,1630,cpx,100,3300,56.69,0.12,2.70,0.20,5.50,0.15,27.00,6.69,1.09,0.01,0.09,0.00,0,0,,,,,,,,,
3,1,m3,70,1630,g,100,3600,43.67,0.52,22.20,0.83,6.24,0.19,23.74,3.32,0.07,0.00,0.03,0.04,0,0,,,,,,,,,
3,1,m3,70,1630,liq,100,2800,43.54,1.27,5.27,0.23,11.47,0.23,24.13,6.96,0.89,0.45,0.11,0.26,0.89,0.45,,,,,,,,,
4,1,m4,70,1630,opx,100,3300,56.99,0.10,2.27,0.15,6.06,0.13,31.58,2.04,0.48,0.00,0.12,0.00,0,0,,,,,,,,,
4,1,m4,70,1630,cpx,100,3300,56.33,0.13,2.99,0.20,5.79,0.15,26.00,6.90,1.19,0.01,0.09,0.00,0,0,,,,,,,,,
4,1,m4,70,1630,g,100,3600,43.78,0.49,22.95,0.79,6.85,0.20,22.81,3.49,0.07,0.00,0.02,0.03,0,0,,,,,,,,,
4,1,m4,70,1630,liq,100,2800,39.57,1.93,4.49,0.11,13.75,0.25,21.48,9.22,2.80,0.74,0.11,0.52,1.31,0.66,,,,,,,,,
5,1,m7,70,1480,opx,100,3300,56.99,0.09,2.10,0.05,7.73,0.14,30.04,1.80,0.65,0.01,0.27,0.00,0,0,,,,,,,,,
5,1,m7,70,1480,cpx,100,3300,56.13,0.16,4.02,0.10,6.96,0.17,22.08,7.99,2.04,0.02,0.20,0.01,0,0,,,,,,,,,
5,1,m7,70,1480,g,100,3600,43.53,0.35,22.64,0.23,9.11,0.26,21.74,3.06,0.14,0.01,0.06,0.01,0,0,,,,,,,,,
5,1,m7,70,1480,liq,100,2800,40.73,2.64,4.33,0.32,12.13,0.30,16.22,9.21,2.50,0.72,0.28,0.50,1.96,0.99,,,,,,,,,
6,1,m8,70,1480,opx,100,3300,56.53,0.16,1.85,0.07,7.55,0.14,29.67,2.46,0.62,0.00,0.14,0.01,0,0,,,,,,,,,
6,1,m8,70,1480,cpx,100,3300,54.34,0.50,3.22,0.10,7.41,0.17,22.75,8.80,1.65,0.09,0.11,0.06,0,0,,,,,,,,,
